wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,1,0.3333333333333333,GABUG,16.49,95.45,39,1.242454,85.5797,-2.665,36.4667,547,13.6591,2.3119,67.626,0.0,True,33.5,4840,4.7557,4.56
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,2,0.3333333333333333,GABUG,16.49,95.45,39,1.231696,85.7046,-1.776,37.1333,557,13.6091,2.2915,68.839,0.0,True,33.0,4840,5.4099,4.43
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,3,0.3333333333333333,GABUG,16.49,95.45,39,1.255956,85.423,-3.7807,35.9333,539,13.7591,2.3076,65.049,0.0,True,36.5,4840,5.4858,4.34
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,4,0.3333333333333333,GABUG,16.49,95.45,39,1.252091,85.4678,-3.4613,36.0,540,13.8091,2.3571,65.15,0.0,True,33.5,4840,5.0312,4.4
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,5,0.3333333333333333,GABUG,16.49,95.45,39,1.238635,85.624,-2.3494,35.1333,527,13.7591,2.3207,66.666,0.0,True,35.0,4840,4.3538,4.33
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,6,0.3333333333333333,GABUG,16.49,95.45,39,1.218605,85.8565,-0.6943,35.0667,526,13.5591,2.2739,68.401,0.0,True,33.0,4840,4.3299,4.34
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,7,0.3333333333333333,GABUG,16.49,95.45,39,1.23207,85.7002,-1.8069,37.0,555,13.7091,2.3221,66.975,0.0,True,33.5,4840,4.0725,4.33
google,1500,10,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,8,0.3333333333333333,GABUG,16.49,95.45,39,1.220453,85.835,-0.847,36.7333,551,13.5591,2.2941,68.726,0.0,True,34.5,4840,3.9697,4.28
google,3000,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,5,0.3333333333333333,GABUG,32.21,189.31,41,2.270142,86.7853,-0.5891,44.0667,1322,25.4479,4.2997,77.99,0.0,True,33.5,4840,9.1066,8.41
google,3000,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA,random,6,0.3333333333333333,GABUG,32.21,189.31,41,2.277522,86.7424,-0.9161,43.6333,1309,25.3479,4.3039,80.104,0.0,True,33.5,4840,9.536,8.63
