wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,mmin,region,window,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,HHO,random,9,0.3333333333333333,E26,16.49,95.45,39,1.297198,86.4937,2.9199,0.0,0,12.8591,2.1162,75.906,0.0,True,26.0,8790,5.1496,2.65
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,HHO,random,10,0.3333333333333333,E26,16.49,95.45,39,1.287405,86.5957,3.6528,0.0,0,12.8091,2.1073,76.734,0.0,True,24.5,8942,5.2603,2.43
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,GA,random,1,0.3333333333333333,E26,16.49,95.45,39,1.264059,86.8387,5.3999,0.0,0,12.5591,2.0796,87.27,0.0,True,25.0,4840,6.1812,3.72
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,GA,random,2,0.3333333333333333,E26,16.49,95.45,39,1.27048,86.7719,4.9194,0.0,0,12.6091,2.0547,84.241,0.0,True,25.5,4840,6.222,3.72
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,GA,random,3,0.3333333333333333,E26,16.49,95.45,39,1.266142,86.8171,5.244,0.0,0,12.6091,2.0712,83.974,0.0,True,25.5,4840,6.1934,3.74
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,GA,random,4,0.3333333333333333,E26,16.49,95.45,39,1.274493,86.7301,4.619,0.0,0,12.6591,2.0781,84.044,0.0,True,25.5,4840,6.1987,3.84
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,GA,random,5,0.3333333333333333,E26,16.49,95.45,39,1.271036,86.7661,4.8778,0.0,0,12.6591,2.0798,84.257,0.0,True,25.5,4840,6.1607,3.8
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,PSO,random,1,0.3333333333333333,E26,16.49,95.45,39,1.295803,86.5082,3.0242,0.0,0,12.8591,2.1224,79.604,0.0,True,27.0,4840,3.4161,4.39
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,PSO,random,2,0.3333333333333333,E26,16.49,95.45,39,1.314344,86.3152,1.6367,0.0,0,13.0591,2.1771,76.768,0.0,True,27.0,4840,3.4415,4.09
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,PSO,random,3,0.3333333333333333,E26,16.49,95.45,39,1.291236,86.5558,3.366,0.0,0,12.8091,2.1149,80.744,0.0,True,26.0,4840,3.4238,4.43
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,PSO,random,4,0.3333333333333333,E26,16.49,95.45,39,1.305004,86.4124,2.3356,0.0,0,12.9591,2.1385,78.845,0.0,True,27.0,4840,3.4252,4.08
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,PSO,random,5,0.3333333333333333,E26,16.49,95.45,39,1.307403,86.3874,2.1561,0.0,0,12.9591,2.1432,78.608,0.0,True,26.5,4840,3.4259,4.12
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,PSO,random,6,0.3333333333333333,E26,16.49,95.45,39,1.309465,86.366,2.0018,0.0,0,13.0091,2.1449,77.496,0.0,True,26.5,4840,3.4493,4.09
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,IE,4,PSO,random,7,0.3333333333333333,E26,16.49,95.45,39,1.30223,86.4413,2.5433,0.0,0,12.9091,2.1156,78.654,0.0,True,27.0,4840,3.4154,4.21
