wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,mmin,region,window,fleet,startup,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,random,7,0.3333333333333333,E29,32.21,189.31,41,2.176488,88.7956,8.3939,0.0,0,25.3229,4.162,81.293,0.0,True,28.0,4840,6.0359,4.8
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,random,8,0.3333333333333333,E29,32.21,189.31,41,2.17771,88.7893,8.3425,0.0,0,25.0854,4.1329,81.954,0.0,True,28.0,4840,5.9913,4.73
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,random,9,0.3333333333333333,E29,32.21,189.31,41,2.171796,88.8198,8.5915,0.0,0,25.3604,4.194,81.02,0.0,True,28.0,4840,6.1491,4.89
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,random,10,0.3333333333333333,E29,32.21,189.31,41,2.164723,88.8562,8.8891,0.0,0,25.0104,4.118,83.656,0.0,True,27.5,4840,5.9383,4.89
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,carbon,1,0.3333333333333333,E29,32.21,189.31,41,2.151898,88.9222,9.4289,0.0,0,25.2604,4.1474,83.194,0.0,True,27.5,4840,5.8706,5.08
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,carbon,2,0.3333333333333333,E29,32.21,189.31,41,2.115418,89.11,10.9643,0.0,0,25.1729,4.139,83.946,0.0,True,27.0,4840,5.8611,4.94
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,carbon,3,0.3333333333333333,E29,32.21,189.31,41,2.165645,88.8514,8.8503,0.0,0,24.9354,4.1057,83.909,0.0,True,28.0,4840,5.867,4.55
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,none,FIFO,-,0,0.3333333333333333,E29,32.21,189.31,41,3.968129,0.0,-115.5014,0.0,0,44.4575,7.5947,5.333,8.1908,False,24.5,0,0.0,0.0
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,none,Consolidation,-,0,0.3333333333333333,E29,32.21,189.31,41,1.841347,53.5966,0.0,0.0,0,20.3585,3.3361,66.586,8.1908,False,24.5,0,0.0,0.0
google,3000,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,none,Greedy(EDF+greenest),-,0,0.3333333333333333,E29,32.21,189.31,41,1.289007,67.516,29.9965,0.0,0,16.8433,2.7369,74.278,24.0994,False,26.0,0,0.0003,0.0
