wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,mmin,region,window,fleet,startup,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,none,WOA,carbon,1,0.3333333333333333,E29,16.49,95.45,39,0.969417,73.3754,21.0142,0.0,0,12.8963,2.0603,67.485,0.0,True,26.5,4840,6.1538,2.38
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,none,WOA,carbon,2,0.3333333333333333,E29,16.49,95.45,39,0.958736,73.6688,21.8845,0.0,0,12.7686,2.0411,69.395,0.0,True,26.0,4840,6.179,2.46
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,none,WOA,carbon,3,0.3333333333333333,E29,16.49,95.45,39,0.964736,73.504,21.3956,0.0,0,12.8839,2.0584,67.528,0.0,True,26.0,4840,6.0856,2.45
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,none,WOA,carbon,4,0.3333333333333333,E29,16.49,95.45,39,0.967308,73.4333,21.186,0.0,0,12.8416,2.0521,69.766,0.0,True,26.5,4840,6.1362,2.42
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,none,WOA,carbon,5,0.3333333333333333,E29,16.49,95.45,39,0.963887,73.5273,21.4647,0.0,0,12.8066,2.0468,67.189,0.0,True,26.5,4840,6.0891,2.46
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,none,WOA,carbon,6,0.3333333333333333,E29,16.49,95.45,39,0.964893,73.4997,21.3828,0.0,0,12.8846,2.0585,65.996,0.0,True,26.0,4840,6.1172,2.35
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,none,WOA,carbon,7,0.3333333333333333,E29,16.49,95.45,39,0.964613,73.5074,21.4056,0.0,0,12.8744,2.057,67.537,0.0,True,26.0,4840,6.0829,2.42
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,none,WOA,carbon,8,0.3333333333333333,E29,16.49,95.45,39,0.959956,73.6353,21.7851,0.0,0,12.7447,2.0375,68.486,0.0,True,26.0,4840,6.037,2.51
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,WOA,carbon,7,0.3333333333333333,E29,16.49,95.45,39,1.124954,86.1632,23.0238,0.0,0,14.9276,2.3875,69.6,0.0,True,26.5,4840,6.2745,2.62
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,skewed,high,WOA,carbon,8,0.3333333333333333,E29,16.49,95.45,39,1.142606,85.9461,21.8159,0.0,0,15.1118,2.4151,67.083,0.0,True,26.5,4840,6.1662,2.58
