N,M,power,A,B,n,mean_A,ci_A,mean_B,ci_B,diff_pp,welch_p,mwu_p,cohen_d,cliffs_delta,sig
3000,10,piecewise,CA-WOA,PSO,30,87.922,"[87.88, 87.96]",86.94,"[86.90, 86.98]",0.983,1.38e-40,3.02e-11,9.08,1.0,YES
3000,10,piecewise,CA-WOA,WOA,30,87.922,"[87.88, 87.96]",87.511,"[87.49, 87.54]",0.411,9.47e-24,3.34e-11,4.75,0.998,YES
3000,20,cubic,CA-WOA,DE,30,88.21,"[88.09, 88.32]",87.725,"[87.70, 87.75]",0.484,1.38e-09,2.78e-07,2.16,0.773,YES
3000,20,cubic,CA-WOA,GA,30,88.21,"[88.09, 88.32]",87.76,"[87.72, 87.80]",0.449,6.75e-09,6.53e-07,1.97,0.749,YES
3000,20,cubic,CA-WOA,GWO,30,88.21,"[88.09, 88.32]",87.729,"[87.70, 87.76]",0.48,1.63e-09,2.38e-07,2.13,0.778,YES
3000,20,cubic,CA-WOA,HHO,30,88.21,"[88.09, 88.32]",87.994,"[87.93, 88.06]",0.216,0.00153,0.000213,0.87,0.558,YES
3000,20,cubic,CA-WOA,PSO,30,88.21,"[88.09, 88.32]",87.714,"[87.68, 87.75]",0.496,7.4e-10,1.36e-07,2.18,0.793,YES
3000,20,cubic,CA-WOA,WOA,30,88.21,"[88.09, 88.32]",87.508,"[87.46, 87.55]",0.702,5.61e-14,3.82e-10,3.0,0.942,YES
3000,20,linear,CA-WOA,DE,30,87.844,"[87.73, 87.96]",86.692,"[86.66, 86.72]",1.153,2.51e-20,3.02e-11,5.15,1.0,YES
3000,20,linear,CA-WOA,GA,30,87.844,"[87.73, 87.96]",86.807,"[86.76, 86.85]",1.038,1.65e-19,3.02e-11,4.53,1.0,YES
3000,20,linear,CA-WOA,GWO,30,87.844,"[87.73, 87.96]",87.134,"[87.11, 87.16]",0.71,6.19e-14,9.91e-11,3.2,0.973,YES
3000,20,linear,CA-WOA,HHO,30,87.844,"[87.73, 87.96]",87.512,"[87.45, 87.57]",0.332,3.57e-06,2.88e-06,1.37,0.704,YES
3000,20,linear,CA-WOA,PSO,30,87.844,"[87.73, 87.96]",86.7,"[86.66, 86.74]",1.144,1.19e-20,3.02e-11,5.04,1.0,YES
3000,20,linear,CA-WOA,WOA,30,87.844,"[87.73, 87.96]",87.094,"[87.07, 87.12]",0.75,1.55e-14,4.98e-11,3.4,0.989,YES
3000,20,piecewise,CA-WOA,DE,30,88.146,"[88.03, 88.26]",87.043,"[87.01, 87.08]",1.103,3.3e-19,3.02e-11,4.75,1.0,YES
3000,20,piecewise,CA-WOA,GA,30,88.146,"[88.03, 88.26]",87.089,"[87.06, 87.12]",1.056,1.65e-18,3.02e-11,4.58,1.0,YES
3000,20,piecewise,CA-WOA,GWO,30,88.146,"[88.03, 88.26]",87.49,"[87.45, 87.53]",0.656,8.49e-13,1.46e-10,2.78,0.964,YES
3000,20,piecewise,CA-WOA,HHO,30,88.146,"[88.03, 88.26]",87.851,"[87.79, 87.92]",0.294,5.11e-05,3.83e-05,1.16,0.62,YES
3000,20,piecewise,CA-WOA,PSO,30,88.146,"[88.03, 88.26]",86.94,"[86.90, 86.98]",1.206,5.16e-21,3.02e-11,5.1,1.0,YES
3000,20,piecewise,CA-WOA,WOA,30,88.146,"[88.03, 88.26]",87.468,"[87.44, 87.50]",0.677,6.56e-13,3.69e-11,2.96,0.996,YES
